Accel x (m/s^2),Accel y (m/s^2),Accel z (m/s^2),w_x (rad/s),w_y (rad/s),w_z (rad/s),Temp (°C)
-0.28,0.18,8.59,0.06,0.02,-0.09,24.99
-0.25,0.15,8.91,0.06,0.02,-0.09,24.99
-0.27,0.15,8.95,0.06,0.01,-0.08,25.01
-0.24,0.16,8.92,0.06,0.01,-0.09,25.02
-0.28,0.2,8.97,0.06,0.02,-0.08,25.02
-0.26,0.19,8.97,0.06,0.01,-0.09,25.02
-0.3,0.21,9.0,0.05,0.01,-0.08,25.03
-0.23,0.22,8.91,0.06,0.02,-0.09,25.02
-0.25,0.21,8.93,0.05,0.02,-0.09,25.04
-0.23,0.19,8.91,0.06,0.02,-0.09,25.03
-0.27,0.2,8.94,0.05,0.02,-0.09,25.03
-0.24,0.19,8.9,0.05,0.02,-0.09,25.04
-0.29,0.18,8.93,0.05,0.02,-0.09,25.04
-0.32,0.17,9.02,0.06,0.01,-0.08,25.04
-0.27,0.16,8.95,0.05,0.01,-0.09,25.04
-0.29,0.19,8.97,0.05,0.01,-0.09,25.04
-0.23,0.17,8.88,0.05,0.02,-0.09,25.04
-0.27,0.16,8.94,0.05,0.01,-0.09,25.04
-0.25,0.14,8.95,0.06,0.01,-0.08,25.04
-0.27,0.18,8.92,0.05,0.02,-0.09,25.05
-0.34,0.27,9.01,0.08,0.0,-0.08,25.05
-0.2,0.27,8.89,0.11,0.01,-0.11,25.05
-0.24,0.2,9.02,0.06,0.05,-0.1,25.05
-0.11,0.1,8.82,0.0,-0.18,-0.13,25.06
-0.25,-0.16,9.09,-0.04,0.04,-0.13,25.06
-0.57,0.21,8.94,0.04,-0.01,-0.14,25.06
-0.74,-0.29,9.35,0.01,0.02,-0.14,25.06
-1.59,0.36,13.35,0.01,-0.07,-0.37,25.06
0.76,-0.11,6.94,-0.21,-0.85,-0.08,25.07
2.35,-0.43,5.62,-0.21,-0.04,-0.22,25.06
1.34,-0.53,6.57,0.08,0.64,-0.05,25.05
-0.01,-1.13,11.97,-0.11,0.56,-0.04,25.08
-0.29,-1.21,9.56,0.04,0.09,-0.08,25.06
-0.4,-1.25,11.66,0.0,0.17,-0.04,25.06
-0.37,-0.59,9.83,0.2,-1.25,-0.08,25.07
2.72,-0.74,6.22,0.14,-0.26,-0.07,25.05
2.37,-0.98,6.85,0.0,0.16,-0.12,25.05
1.73,0.42,6.19,0.0,0.8,-0.15,25.06
-0.36,-2.19,12.53,-0.23,0.9,-0.08,25.06
-0.76,-1.13,9.52,0.01,0.1,-0.04,25.05
-1.03,-1.14,11.78,0.35,0.05,-0.0,25.06
-0.41,-0.76,9.39,0.13,-0.9,-0.13,25.05
1.81,-0.22,5.92,-0.0,-0.58,-0.17,25.06
2.48,-0.89,7.21,0.07,0.06,-0.1,25.06
1.95,-1.4,6.48,0.16,0.32,0.12,25.06
-0.79,-1.01,12.38,0.05,1.33,-0.29,25.06
-0.92,-1.02,9.94,0.12,0.13,-0.04,25.06
-0.98,-1.2,10.91,0.07,0.06,-0.05,25.06
-0.69,-0.3,10.3,0.4,-1.04,-0.09,25.06
1.6,-0.25,5.52,-0.02,-0.76,-0.16,25.05
2.61,-0.82,7.29,-0.09,0.19,-0.01,25.05
1.71,0.14,4.76,0.51,0.56,-0.06,25.06
-0.16,-0.85,10.12,0.26,0.83,-0.16,25.07
-0.8,-0.43,10.59,0.13,0.32,-0.13,25.07
-0.86,-0.31,9.26,0.06,-0.04,-0.06,25.06
-0.9,-0.55,12.19,-0.03,-0.41,-0.16,25.05
0.35,0.17,7.76,0.06,-1.27,0.04,25.06
2.7,-0.55,5.9,-0.18,-0.11,0.03,25.05
2.35,-0.84,7.45,0.14,0.18,-0.13,25.06
1.79,0.7,6.93,-0.18,0.27,-0.2,25.06
0.23,-0.2,10.78,0.14,0.64,-0.22,25.06
-0.48,-0.38,10.93,0.0,0.22,-0.15,25.07
-0.13,-0.64,9.33,-0.08,-0.03,-0.07,25.07
-0.38,-0.45,12.17,0.23,-0.72,-0.08,25.06
1.63,0.51,6.43,0.2,-0.78,0.02,25.06
3.01,-0.35,6.66,-0.06,-0.13,-0.09,25.06
2.85,-0.17,7.21,0.09,0.14,-0.05,25.07
2.53,0.06,6.6,0.09,0.27,0.02,25.06
1.18,-1.34,9.98,0.2,0.9,-0.19,25.07
0.01,-0.72,11.04,-0.1,0.52,-0.13,25.08
-0.27,-0.69,9.57,0.03,0.09,-0.05,25.08
