Accel x (m/s^2),Accel y (m/s^2),Accel z (m/s^2),w_x (rad/s),w_y (rad/s),w_z (rad/s),Temp (°C)
0.68,-2.09,8.36,0.38,0.15,0.38,25.63
0.76,-3.11,9.09,-0.01,0.11,-0.36,25.64
-0.05,-2.05,9.0,-0.05,-0.21,-0.86,25.64
-0.38,2.18,8.58,0.04,0.07,-0.98,25.63
1.13,0.29,9.2,0.1,0.04,-0.21,25.64
0.42,0.13,8.76,0.06,-0.0,-0.04,25.65
0.02,1.09,9.72,0.11,0.0,0.41,25.65
0.57,0.06,8.5,0.05,-0.03,0.66,25.65
0.57,-1.27,8.66,-0.06,0.1,0.55,25.66
0.15,-1.71,9.27,0.05,0.13,0.25,25.66
0.09,-1.58,8.88,0.1,-0.02,-0.1,25.66
0.28,-2.07,9.54,0.18,-0.11,-0.48,25.65
0.12,-0.71,8.65,0.23,-0.21,-0.82,25.66
1.02,0.11,8.23,0.19,0.0,-0.78,25.66
0.8,1.54,9.29,0.05,0.11,-0.42,25.65
0.38,2.12,9.0,0.09,-0.02,-0.02,25.67
0.81,1.61,9.09,-0.15,-0.07,0.47,25.67
0.98,-0.16,8.58,-0.04,0.19,0.61,25.67
-0.32,-1.45,8.88,-0.17,0.24,0.47,25.67
0.28,-2.23,9.72,-0.06,0.01,-0.02,25.67
0.78,-2.12,9.38,0.12,-0.24,-0.46,25.67
0.31,-0.57,8.19,0.07,-0.05,-0.9,25.67
0.34,0.44,8.37,-0.06,0.14,-0.61,25.68
0.94,1.41,10.36,0.03,0.31,-0.41,25.67
0.2,1.06,9.47,0.07,-0.15,0.21,25.68
0.83,-0.07,8.51,0.07,-0.16,0.81,25.68
0.47,-1.16,8.1,0.07,0.13,0.71,25.67
0.55,-2.9,9.33,-0.09,0.15,0.25,25.67
0.42,-2.57,9.56,0.08,-0.07,-0.35,25.68
0.52,-1.83,8.76,0.2,-0.19,-0.94,25.67
0.79,0.6,7.96,0.07,-0.05,-0.97,25.67
0.9,1.3,8.63,0.37,0.22,-0.64,25.67
0.77,2.06,9.48,-0.01,0.14,-0.08,25.68
0.67,1.15,9.63,-0.04,-0.15,0.32,25.67
0.59,1.17,8.03,0.01,-0.03,0.7,25.67
0.38,-0.13,8.51,0.5,0.31,0.58,25.69
0.82,-2.34,9.59,-0.19,0.25,0.35,25.68
-0.02,-1.93,9.78,0.07,-0.18,-0.33,25.68
0.3,-0.78,8.52,0.06,-0.18,-0.97,25.68
0.52,0.43,8.02,0.05,0.07,-1.03,25.68
0.0,3.15,8.76,0.11,0.2,-0.49,25.68
0.21,1.84,9.58,0.02,-0.0,-0.07,25.68
0.4,1.66,8.62,-0.25,-0.12,0.45,25.67
0.4,0.04,8.93,-0.1,0.05,0.67,25.69
-0.09,-0.7,8.38,-0.22,0.12,0.77,25.67
0.47,-3.09,10.01,-0.04,0.1,0.19,25.68
0.36,-2.67,9.0,0.3,-0.06,-0.47,25.68
0.05,-1.12,8.79,0.13,-0.09,-0.95,25.67
0.35,0.11,8.64,0.09,0.15,-0.81,25.67
0.47,1.25,9.48,0.13,0.18,-0.43,25.67
0.46,0.66,9.34,0.08,0.02,0.03,25.67
0.24,1.03,8.93,-0.18,-0.13,0.4,25.69
0.45,-0.44,8.4,-0.02,-0.06,0.64,25.68
0.62,-1.63,8.37,0.09,0.12,0.6,25.69
0.57,-2.51,9.34,0.06,0.17,0.16,25.67
0.18,-2.28,9.48,0.1,-0.08,-0.27,25.69
0.6,-2.12,8.46,0.12,-0.09,-0.84,25.69
0.26,-0.47,8.25,0.06,0.15,-0.95,25.67
0.18,1.36,9.34,0.28,0.05,-0.46,25.68
0.39,1.86,9.71,-0.02,0.06,-0.08,25.69
0.17,0.68,8.8,-0.08,-0.09,0.61,25.68
0.2,-0.63,8.48,-0.26,-0.05,0.79,25.68
0.42,-1.99,8.62,-0.03,0.12,0.64,25.68
0.62,-2.95,9.18,0.05,0.0,-0.05,25.69
0.56,-1.69,9.05,0.2,0.04,-0.52,25.69
